topological coefficient,degree
0.006466607,374
0.008266418,253
0.009441448,229
0.012326581,149
0.015473712,122
0.014689384,109
0.017218731,92
0.026882607,71
0.021109,70
0.025476535,57
0.030322977,54
0.032844165,53
0.031675231,50
0.040499921,43
0.032461518,41
0.043783261,39
0.03497198,37
0.035811804,36
0.042410016,36
0.042070338,33
0.049739822,33
0.037006579,32
0.035623589,32
0.041950113,32
0.044571995,32
0.044940107,30
0.046224532,29
0.054370092,29
0.043315285,28
0.042750533,28
0.046298701,28
0.051000198,27
0.048539355,26
0.061903576,26
0.049834087,25
0.052013423,24
0.053907721,24
0.062863372,24
0.052956934,23
0.054077927,23
0.057125307,22
0.060724432,22
0.063768464,22
0.056190476,21
0.068503569,21
0.063207547,20
0.071904762,20
0.065132409,20
0.068264249,20
0.053705693,19
0.057254623,19
0.061018597,19
0.07032866,19
0.080722154,19
0.069359237,18
0.07552597,18
0.078282828,18
0.063834423,17
0.071058824,17
0.067744021,17
0.068931921,17
0.071804467,17
0.078010265,17
0.082244724,17
0.073129252,16
0.072488584,16
0.067026869,16
0.076147959,16
0.072389241,16
0.090901243,16
0.080106809,16
0.095890411,16
0.090909091,15
0.07816092,15
0.095721393,15
0.087563452,15
0.09068747,14
0.077030812,14
0.080808081,14
0.087135978,14
0.094907407,14
0.094147093,14
0.102439413,14
0.100463926,14
0.084859585,13
0.094017094,13
0.100193924,13
0.100387382,13
0.090346535,12
0.095135908,12
0.090024331,12
0.092372881,12
0.089215686,12
0.091139735,12
0.09592145,12
0.1006244,12
0.09954955,12
0.093983558,12
0.107794944,12
0.112171053,12
0.109504132,11
0.094711372,11
0.099309931,11
0.097339246,11
0.103553521,11
0.099357208,11
0.105519481,11
0.104336781,11
0.122845219,11
0.109695908,11
0.111308204,11
0.111700602,11
0.116646989,11
0.123036649,10
0.112578616,10
0.120891365,10
0.108312958,10
0.131282953,10
0.123139159,10
0.124766355,10
0.133201581,10
0.141073658,9
0.129198966,9
0.126575029,9
0.119391026,9
0.124780932,9
0.13185654,9
0.122150997,9
0.115039282,9
0.136281913,9
0.123195703,9
0.1208577,9
0.11596424,9
0.125615126,9
0.120671835,9
0.120721988,9
0.131561009,9
0.131659056,9
0.140766416,9
0.144480519,9
0.13924593,9
0.146428571,8
0.130514706,8
0.153225806,8
0.132780083,8
0.141509434,8
0.131048387,8
0.173611111,8
0.128216912,8
0.14984472,8
0.141791045,8
0.138085399,8
0.137340764,8
0.136524823,8
0.1566,8
0.149958746,8
0.160175879,8
0.179,8
0.179897567,8
0.161064426,7
0.170918367,7
0.19124424,7
0.167115903,7
0.142857143,7
0.17281106,7
0.175824176,7
0.151098901,7
0.15270936,7
0.145680407,7
0.152872957,7
0.162613982,7
0.153923541,7
0.158083296,7
0.149659864,7
0.160637646,7
0.146835443,7
0.151675485,7
0.162323391,7
0.151089588,7
0.153701084,7
0.152805412,7
0.165337201,7
0.156773644,7
0.152196472,7
0.17161613,7
0.158697565,7
0.164671455,7
0.162155388,7
0.175550817,7
0.193277311,7
0.17032967,7
0.183763373,7
0.171868132,7
0.177308222,7
0.188605956,7
0.193333333,6
0.188679245,6
0.18018018,6
0.178030303,6
0.184640523,6
0.210691824,6
0.184079602,6
0.193181818,6
0.167992927,6
0.211956522,6
0.174970344,6
0.1734375,6
0.188034188,6
0.173510467,6
0.178120063,6
0.194444444,6
0.185817805,6
0.191872428,6
0.18233945,6
0.180805484,6
0.189781022,6
0.193433262,6
0.226864331,6
0.173847317,6
0.195778748,6
0.182684973,6
0.186792453,6
0.176120448,6
0.179487179,6
0.204620462,6
0.221760797,6
0.222511574,6
0.224637681,6
0.199777407,6
0.2364028,6
0.224462366,6
0.200357325,6
0.207391714,6
0.210612436,6
0.208165096,6
0.213989207,6
0.257142857,5
0.208064516,5
0.225531915,5
0.227777778,5
0.219512195,5
0.242105263,5
0.224657534,5
0.2,5
0.234146341,5
0.227659574,5
0.205982906,5
0.225,5
0.203125,5
0.234375,5
0.244067797,5
0.229090909,5
0.215584416,5
0.214159292,5
0.206299213,5
0.214893617,5
0.214634146,5
0.227184466,5
0.22295082,5
0.20173913,5
0.241558442,5
0.244,5
0.276033058,5
0.223529412,5
0.212162162,5
0.2375,5
0.223913043,5
0.233766234,5
0.202307692,5
0.22,5
0.210344828,5
0.234210526,5
0.226190476,5
0.202139037,5
0.210362694,5
0.216806723,5
0.203723404,5
0.205221932,5
0.221960784,5
0.229946524,5
0.211267606,5
0.230420712,5
0.224267782,5
0.209885932,5
0.207672634,5
0.268070175,5
0.21192053,5
0.233742331,5
0.219494585,5
0.214784394,5
0.214285714,5
0.230618893,5
0.203092784,5
0.231436314,5
0.213888889,5
0.225714286,5
0.217928287,5
0.227977316,5
0.229257642,5
0.21589404,5
0.246181818,5
0.230434783,5
0.235701275,5
0.219771863,5
0.236438923,5
0.230103806,5
0.264440735,5
0.239316239,5
0.233982301,5
0.244167963,5
0.247687861,5
0.265756824,5
0.292857143,4
0.259174312,4
0.308823529,4
0.270833333,4
0.253968254,4
0.277777778,4
0.269480519,4
0.355072464,4
0.284482759,4
0.261904762,4
0.420833333,4
0.403846154,4
0.266666667,4
0.305194805,4
0.263043478,4
0.25529661,4
0.279166667,4
0.271929825,4
0.254237288,4
0.275862069,4
0.256802721,4
0.278571429,4
0.276119403,4
0.25297619,4
0.272826087,4
0.27484472,4
0.2825,4
0.313253012,4
0.263020833,4
0.271428571,4
0.273722628,4
0.265410959,4
0.260582011,4
0.259505703,4
0.303240741,4
0.305687204,4
0.277412281,4
0.252083333,4
0.280797101,4
0.25965251,4
0.250980392,4
0.260245902,4
0.273480663,4
0.252906977,4
0.280991736,4
0.261732852,4
0.258032129,4
0.256578947,4
0.281100478,4
0.259259259,4
0.254617414,4
0.259353741,4
0.265625,4
0.27140411,4
0.259856631,4
0.253826531,4
0.254987531,4
0.25066313,4
0.291533546,4
0.256909548,4
0.29244186,4
0.260651629,4
0.256944444,4
0.274038462,4
0.269979508,4
0.267857143,4
0.26819407,4
0.269114688,4
0.304184549,4
0.270964361,4
0.298913043,4
0.285626536,4
0.269387755,4
0.286796537,4
0.274089936,4
0.307761733,4
0.290948276,4
0.287665563,4
0.309821429,4
0.287744227,4
0.289241623,4
0.308972504,4
0.308610709,4
0.325918079,4
0.337962963,3
0.378787879,3
0.368421053,3
0.343434343,3
0.344827586,3
0.34591195,3
0.351351351,3
0.333333333,3
0.352941176,3
0.384615385,3
0.35042735,3
0.35,3
0.351851852,3
0.355555556,3
0.398989899,3
0.354166667,3
0.357142857,3
0.385964912,3
0.366666667,3
0.352380952,3
0.341991342,3
0.37254902,3
0.391304348,3
0.414141414,3
0.369565217,3
0.361111111,3
0.355072464,3
0.352112676,3
0.344444444,3
0.341085271,3
0.376068376,3
0.375,3
0.336391437,3
0.383333333,3
0.585034014,3
0.337662338,3
0.557575758,3
0.573099415,3
