topological coefficient,degree
0.005091738,1050
0.00402243,989
0.005833817,771
0.004599298,766
0.005972112,744
0.006650213,709
0.004938005,681
0.005900953,652
0.007022265,638
0.005223176,622
0.007577153,609
0.005262781,585
0.007256075,580
0.008272249,579
0.004939007,579
0.007904159,567
0.005375294,561
0.007112731,538
0.005585394,538
0.006745696,510
0.006938634,508
0.007118856,498
0.004791672,492
0.006019685,478
0.005168851,476
0.005677894,469
0.006457863,468
0.006357844,461
0.007361058,454
0.007502074,439
0.005638248,435
0.006156327,422
0.007826001,421
0.008522727,418
0.008591186,400
0.005791326,400
0.0094219,399
0.011084434,396
0.008342566,393
0.009370103,384
0.005781248,383
0.009091544,381
0.006134775,379
0.006925717,378
0.006815249,374
0.011830886,373
0.009798982,373
0.007941712,366
0.009026225,354
0.009108687,353
0.00817638,352
0.008344817,351
0.008092004,346
0.006715656,341
0.008767359,338
0.007144224,337
0.010007501,334
0.008815968,334
0.008842029,331
0.008240939,326
0.009048113,325
0.007253849,325
0.011203531,323
0.008469271,319
0.008345398,316
0.009320813,310
0.00828796,309
0.0093675,305
0.01221542,297
0.007917897,296
0.009740152,295
0.008986824,292
0.00807049,291
0.006917326,291
0.008077,290
0.013300864,289
0.007241297,282
0.010175656,276
0.008218984,276
0.007419219,276
0.009106662,274
0.011713187,268
0.008450296,267
0.01398271,262
0.008628301,261
0.011974147,260
0.007276595,260
0.009991114,259
0.010385953,258
0.008921937,256
0.01081351,253
0.012571239,252
0.014436856,251
0.01536722,250
0.012345692,247
0.008771264,247
0.011143359,246
0.007501978,246
0.013972078,244
0.009434791,244
0.012967828,243
0.015414665,242
0.00980095,242
0.009173177,242
0.013699243,241
0.011786981,240
0.010489571,239
0.013421405,237
0.012876516,236
0.008191742,236
0.011774044,233
0.011993613,230
0.011203624,229
0.009523434,229
0.011358225,227
0.019095043,225
0.010120238,225
0.011358177,224
0.011180003,223
0.01273087,222
0.013793959,220
0.014464181,218
0.012212684,218
0.01142945,218
0.007937915,217
0.012505766,216
0.009713993,216
0.010669489,215
0.010914459,214
0.009628755,213
0.012090255,212
0.010452466,212
0.009543814,211
0.009504785,211
0.013576659,210
0.015242954,208
0.015620155,206
0.011840969,206
0.01767494,204
0.011082352,203
0.01171701,201
0.009195059,201
0.016351817,200
0.01458659,200
0.013943614,200
0.012797603,199
0.013547524,198
0.013528979,197
0.01045948,197
0.012735403,195
0.010589057,194
0.011534007,193
0.009747712,193
0.022140169,192
0.012072481,192
0.017235104,191
0.019098273,190
0.013127809,190
0.009720628,190
0.017852369,189
0.016199995,189
0.013287501,189
0.017538041,187
0.013325256,187
0.011897192,187
0.01392274,186
0.013366522,186
0.015346716,185
0.013632078,185
0.01361388,184
0.012025631,183
0.010214165,183
0.014997434,182
0.009792521,182
0.010202807,181
0.012455739,180
0.012323318,180
0.021031549,179
0.014869275,179
0.014503882,179
0.02259283,178
0.012581115,177
0.019667334,176
0.010732323,176
0.010513852,176
0.012004646,175
0.015947539,174
0.011236679,174
0.010477167,174
0.010223121,174
0.021313754,173
0.015524851,173
0.014853753,173
0.01291529,173
0.011837239,173
0.017551474,171
0.012924269,171
0.012748335,170
0.012577214,170
0.01247879,169
0.017282523,168
0.015720935,168
0.014329667,168
0.015905909,167
0.015632409,167
0.012893644,167
0.02212576,166
0.021950157,166
0.01532531,166
0.011932955,166
0.014080718,165
0.010440255,165
0.022092572,164
0.015142681,164
0.012477487,164
0.014255709,162
0.00961714,162
0.016909673,161
0.016505944,161
0.014382577,161
0.018922472,160
0.016430402,160
0.014992672,159
0.013218317,159
0.02530748,158
0.017662053,158
0.0132313,158
