clustering coefficient,degree
0.004688105,374
0.00621118,253
0.006396997,229
0.005985852,149
0.01625796,122
0.012402311,109
0.017677974,92
0.024547284,71
0.013664596,70
0.020050125,57
0.056603774,54
0.064586357,53
0.046530612,50
0.138427464,43
0.02804878,41
0.16194332,39
0.010510511,37
0.03015873,36
0.063492063,36
0.053030303,33
0.109848485,33
0.010080645,32
0.024193548,32
0.028225806,32
0.054435484,32
0.059770115,30
0.041871921,29
0.103448276,29
0.023809524,28
0.015873016,28
0.03968254,28
0.07977208,27
0.049230769,26
0.166153846,26
0.043333333,25
0.06884058,24
0.112318841,24
0.055335968,23
0.043290043,22
0.056277056,22
0.073593074,22
0.014285714,21
0.123809524,21
0.010526316,20
0.105263158,20
0.084210526,20
0.1,20
0.011695906,19
0.046783626,19
0.029239766,19
0.18128655,19
0.032679739,18
0.091503268,18
0.14379085,18
0.044117647,17
0.066176471,17
0.095588235,17
0.088235294,17
0.080882353,17
0.05,16
0.058333333,16
0.016666667,16
0.075,16
0.033333333,16
0.258333333,16
0.283333333,16
0.00952381,15
0.057142857,15
0.238095238,15
0.085714286,15
0.098901099,14
0.021978022,14
0.065934066,14
0.054945055,14
0.175824176,14
0.032967033,14
0.241758242,14
0.153846154,14
0.025641026,13
0.128205128,13
0.115384615,13
0.08974359,13
0.015151515,12
0.075757576,12
0.03030303,12
0.045454545,12
0.106060606,12
0.136363636,12
0.121212121,12
0.227272727,12
0.257575758,12
0.054545455,11
0.018181818,11
0.090909091,11
0.127272727,11
0.163636364,11
0.072727273,11
0.181818182,11
0.022222222,10
0.066666667,10
0.244444444,10
0.111111111,10
0.311111111,10
0.155555556,10
0.044444444,10
0.111111111,9
0.055555556,9
0.083333333,9
0.194444444,9
0.166666667,9
0.027777778,9
0.25,9
0.138888889,9
0.035714286,8
0.107142857,8
0.071428571,8
0.142857143,8
0.178571429,8
0.214285714,8
0.464285714,8
0.607142857,8
0.142857143,7
0.19047619,7
0.095238095,7
0.047619048,7
0.238095238,7
0.285714286,7
0.333333333,7
0.066666667,6
0.133333333,6
0.266666667,6
0.333333333,6
0.2,6
0.4,6
0.466666667,6
0.666666667,6
0.6,6
0.1,5
0.2,5
0.3,5
0.5,5
0.4,5
0.166666667,4
0.833333333,4
0.333333333,4
0.666666667,4
0.5,4
0.333333333,3
1,3
0.666666667,3
1,2
