topological coefficient,degree
0.011323367,129
0.016217844,118
0.013736509,111
0.034613561,57
0.025270408,53
0.025695387,44
0.031753131,43
0.045707915,39
0.04167894,35
0.052482578,28
0.047008547,27
0.03988604,26
0.038461538,26
0.086315789,25
0.063343109,22
0.066017774,17
0.084332192,16
0.141666667,15
0.086956522,15
0.100921659,14
0.111378205,13
0.121066434,13
0.112599206,12
0.111111111,12
0.092105263,12
0.100886918,11
0.095730028,11
0.093582888,11
0.16440678,10
0.107936508,10
0.102985075,10
0.121212121,9
0.145875937,9
0.12962963,9
0.11369509,9
0.149884259,9
0.111111111,9
0.204545455,8
0.130681818,8
0.231614539,7
0.158385093,7
0.1484375,7
0.2004111,7
0.18641115,7
0.146179402,7
0.203355363,7
0.142857143,7
0.186868687,6
0.290123457,6
0.22027972,6
0.235232068,6
0.186507937,6
0.178571429,6
0.242937853,6
0.175105485,6
0.434285714,5
0.26442953,5
0.263225806,5
0.253488372,5
0.225641026,5
0.250588235,5
0.31497006,5
0.285882353,5
0.26,5
0.312195122,5
0.20620155,5
0.2015625,5
0.261627907,4
0.332758621,4
0.327922078,4
0.261538462,4
0.348484848,4
0.259689922,4
0.338709677,4
0.287549407,4
0.259541985,4
0.255555556,4
0.316011236,4
0.390243902,4
0.262048193,4
0.285234899,4
0.25,4
0.336111111,4
0.791666667,3
0.626262626,3
0.575757576,3
0.35881104,3
0.363867684,3
0.425287356,3
0.348290598,3
0.363013699,3
0.384615385,3
0.393939394,3
0.432183908,3
0.428571429,3
0.4,3
0.513333333,3
0.385964912,3
0.514056225,3
0.351851852,3
0.346153846,3
0.459627329,3
0.345410628,3
0.354609929,3
0.4342723,3
0.345498783,3
0.425531915,3
0.333333333,3
0.362573099,3
0.335917313,3
0.3359375,3
0.48015873,3
0.454248366,3
0.875,2
0.813559322,2
0.740740741,2
0.734375,2
0.727272727,2
0.684210526,2
0.65625,2
0.576923077,2
0.565217391,2
0.55,2
0.525210084,2
0.521186441,2
0.515503876,2
0.512396694,2
0.511538462,2
0.510948905,2
0.510869565,2
0.509868421,2
0.507751938,2
0.507633588,2
1,2
0.75,2
0.636363636,2
0.6,2
0.558823529,2
0.612903226,2
0.527777778,2
0.523809524,2
0.5,2
0.511627907,2
0.519607843,2
0.775510204,2
0.533333333,2
0.524390244,2
0.510416667,2
0.541666667,2
0.638297872,2
0.503875969,2
0.570469799,2
0.507462687,2
0.507246377,2
0.50390625,2
0.512820513,2
0.504273504,2
0.507518797,2
